标准音：D4^5 = 220*2^(65/164) Hz ≈ 289.56 Hz

时刻	格子图（低音）	格子图（和弦）	和弦图（低音）	和弦图（和弦）	注释
480	(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
1200	(3, 0, 0, -1)	{(2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
2160	(1, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
3120	(0, 0, 0, -1)	{(0, 0, 0, -1), (0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
4080	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}
5040	(0, 0, 0, -1)	{(-1, 0, 0, 0), (0, 0, 0, -1), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
6000	(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
6960	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0)}
7680	(0, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1)}
8160	(1, 0, 0, -1)	{(1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
8880	(3, 0, 0, -1)	{(2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
9840	(4, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
10320	(2, 0, 0, -1)	{(0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1)}
10800	(0, 0, 0, -1)	{(0, 0, 0, -1), (0, 0, 0, 0), (1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
11760	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0)}
12720	(1, 0, 0, 0)	{(-2, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}
13680	(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
15600	(1, 0, 0, -1)	{(1, 0, 0, -1), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}
16560	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (-1, 0, 0, 1), (1, 0, 0, 0)}
17760	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
18480	(2, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	9	(1/9, 1/3, 1)
19440	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 11/3, 9)
21360	(-3, 0, 0, 1)	{(-4, 0, 0, 2), (-3, 0, 0, 1), (-3, 0, 0, 2), (-1, 0, 0, 1)}	11/27	(1, 11/3, 9, 11)
22320	(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/81	(1, 3, 11/3, 9, 27)
23280	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
24240	(-1, 0, 0, 0)	{(-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1/3	(1, 3, 9, 27)
24720	(1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	3	(1/9, 1/3, 11/27, 1)
25440	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
26160	(2, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	9	(1/9, 1/3, 1)
27120	(1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (3, 0, 0, 0)}	3	(1/9, 1/3, 11/27, 1, 9)
28080	(-3, 0, 0, 1)	{(-3, 0, 0, 1), (-3, 0, 0, 2), (-2, 0, 0, 1), (-1, 0, 0, 1), (0, 0, 0, 1)}	11/27	(1, 3, 9, 11, 27)
29040	(-3, 0, 0, 1)	{(-4, 0, 0, 2), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/27	(1, 3, 11/3, 9)
29520	(-2, 0, 0, 1)	{(-4, 0, 0, 2), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/9	(1/3, 1, 11/9, 3)
30000	(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-3, 0, 0, 1), (-2, 0, 0, 1)}	11/81	(1, 3, 11/3, 9)
30960	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
31920	(-2, 0, 0, 1)	{(-3, 0, 0, 2), (-2, 0, 0, 1), (-1, 0, 0, 1), (0, 0, 0, 1)}	11/9	(1, 3, 11/3, 9)
33120	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/9	(1, 3, 11/3, 9)
36240	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
36960	(-2, 0, 0, 0)	{(-3, 0, 0, 1), (-2, 0, 0, 0), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/9	(1, 3, 11/3, 9)
40080	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
40800	(2, 0, 0, 0)	{(1, 0, 0, 1), (2, 0, 0, 0), (3, 0, 0, 0), (4, 0, 0, 0)}	9	(1, 3, 11/3, 9)
43920	(4, 0, 0, 0)	{(3, 0, 0, 1), (4, 0, 0, 0), (5, 0, 0, 0), (6, 0, 0, 0)}	81	(1, 3, 11/3, 9)
44640	(6, 0, 0, -1)	{(5, 0, 0, 0), (6, 0, 0, -1), (7, 0, 0, -1), (8, 0, 0, -1)}	729/11	(1, 3, 11/3, 9)
44880	(5, 0, 0, -1)	{(4, 0, 0, 0), (5, 0, 0, -1), (6, 0, 0, -1), (7, 0, 0, -1)}	243/11	(1, 3, 11/3, 9)
45360	(4, 0, 0, -1)	{(3, 0, 0, 0), (4, 0, 0, -1), (5, 0, 0, -1), (6, 0, 0, -1)}	81/11	(1, 3, 11/3, 9)
45840	(3, 0, 0, -1)	{(2, 0, 0, 0), (3, 0, 0, -1), (4, 0, 0, -1), (5, 0, 0, -1)}	27/11	(1, 3, 11/3, 9)
46320	(2, 0, 0, -1)	{(1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}	9/11	(1, 3, 11/3, 9)
47040	(1, 0, 0, -1)	{(1, 0, 0, -1), (1, 0, 0, 0), (2, 0, 0, -1), (3, 0, 0, -1), (4, 0, 0, -1)}	3/11	(1, 3, 9, 11, 27)
48480	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
49200	(1, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	3	(1/3, 1, 3)
50160	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 11/3, 9)
51120	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
52080	(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-3, 0, 0, 1), (-2, 0, 0, 1)}	11/81	(1, 3, 11/3, 9)
53040	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
54000	(0, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 9)
54480	(-1, 0, 0, 0)	{(-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1/3	(1, 3, 9, 27)
54960	(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-4, 0, 0, 2), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/81	(1, 3, 11/3, 9, 11, 27)
56160	(-1, 0, 0, 0)	{(-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 9)
56880	(1, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	3	(1/3, 1, 11/9, 3)
57840	(2, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	9	(1/27, 1/9, 11/81, 1/3, 1)
58320	(0, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1	(1/3, 1, 11/9, 3)
58800	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
59760	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0)}	1/3	(1, 3, 11/3)
60720	(1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	3	(1/3, 11/27, 1, 11/9, 3)
61680	(-2, 0, 0, 1)	{(-3, 0, 0, 2), (-2, 0, 0, 1), (-1, 0, 0, 1), (0, 0, 0, 1)}	11/9	(1, 3, 11/3, 9)
63840	(0, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 11/3, 9)
64560	(1, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	3	(1/3, 1, 3)
65520	(-1, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 11/3, 9)
66480	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
67440	(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-3, 0, 0, 1), (-2, 0, 0, 1)}	11/81	(1, 3, 11/3, 9)
68400	(-2, 0, 0, 0)	{(-2, 0, 0, 0), (-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/9	(1, 3, 9, 11, 27)
69360	(0, 0, 0, 0)	{(0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1	(1, 3, 9)
69840	(-1, 0, 0, 0)	{(-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	1/3	(1, 3, 9, 27)
70320	(-4, 0, 0, 1)	{(-5, 0, 0, 2), (-4, 0, 0, 1), (-4, 0, 0, 2), (-3, 0, 0, 1), (-2, 0, 0, 1), (-1, 0, 0, 1)}	11/81	(1, 3, 11/3, 9, 11, 27)
71520	(-1, 0, 0, 0)	{(-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1/3	(1, 3, 9)
72240	(1, 0, 0, 0)	{(-1, 0, 0, 1), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	3	(1/3, 1, 11/9, 3)
73200	(2, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0), (2, 0, 0, 0)}	9	(1/27, 1/9, 11/81, 1/3, 1)
73680	(0, 0, 0, 0)	{(-2, 0, 0, 1), (-1, 0, 0, 0), (0, 0, 0, 0), (1, 0, 0, 0)}	1	(1/3, 1, 11/9, 3)
