GB/T 25914-2023	GB/T 25914-2010	Onon Sonin Sans
ᠢᠯᠡᠭᠦᠦ᠎ᠳᠦ	ᠢᠯᠡᠭᠦᠸ ᠳᠦ	ᠢᠯᠡᠭᠦᠸ ᠳᠦ
ᠢᠯᠴᠢ᠎ᠶᠢ	ᠢᠯᠴᠢ ᠶᠢ	ᠢᠯᠴᠢ ᠶᠢ
ᠢᠯᠴᠢᠨ᠎ᠢ	ᠢᠯᠴᠢᠨ ᠢ	ᠢᠯᠴᠢᠨ ᠢ
ᠢᠯᠵᠠᠷᠠᠬᠤ	ᠢᠯᠵᠠᠷᠠᠬᠤ	ᠢᠯᠵᠠᠷᠠᠬᠤ
ᠣ	ᠣ	ᠣ
ᠣᠭᠲᠠᠷᠭᠤᠢ	ᠣᠭᠲᠠᠷᠭᠤᠶ	ᠣᠭᠲᠠᠷᠭᠤᠶ
ᠣᠮᠣᠭᠲᠤ	ᠣᠮᠣᠭᠲᠤ	ᠣᠮᠣᠭᠲᠤ
ᠣᠯᠵᠤ	ᠣᠯᠵᠤ	ᠣᠯᠵᠤ
ᠣᠳᠣ	ᠣᠳᠣ	ᠣᠳᠣ
ᠣᠳᠣ᠎ᠶᠤᠮ	ᠣᠳᠣ ᠶᠤᠮ	ᠣᠳᠣ ᠶᠤᠮ
ᠣᠳᠤ	ᠣᠳᠤ	ᠣᠳᠤ
ᠣᠷᠬᠢᠵᠤ	ᠣᠷᠬᠢᠵᠤ	ᠣᠷᠬᠢᠵᠤ
ᠤ	ᠤ	ᠤ
ᠤᠤᠬᠠᠢ᠎ᠶᠢᠨ	ᠤᠸᠬᠠᠶ ᠶᠢᠨ	ᠤᠸᠬᠠᠶ ᠶᠢᠨ
ᠤᠨᠠᠭᠠᠵᠠᠢ	ᠤᠨᠠᠭᠠᠵᠠᠶ	ᠤᠨᠠᠭᠠᠵᠠᠶ
ᠤᠨᠠᠭᠠᠵᠤᠬᠤ	ᠤᠨᠠᠭᠠᠵᠤᠬᠤ	ᠤᠨᠠᠭᠠᠵᠤᠬᠤ
ᠤᠰᠤᠨ	ᠤᠰᠤᠨ	ᠤᠰᠤᠨ
ᠤᠰᠤᠨ᠎ᠳᠤ	ᠤᠰᠤᠨ ᠳᠤ	ᠤᠰᠤᠨ ᠳᠤ
ᠤᠰᠤᠨ᠎ᠳᠤᠷ	ᠤᠰᠤᠨ ᠳᠤᠷ	ᠤᠰᠤᠨ ᠳᠤᠷ
ᠥ	ᠥ	ᠥ
ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ᠎ᠳᠦ	ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠳᠦ	ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠳᠦ
ᠥᠪᠡᠷ᠎ᠢ᠎ᠪᠡᠨ	ᠥᠪᠡᠷ ᠢ ᠪᠡᠨ	ᠥᠪᠡᠷ ᠢ ᠪᠡᠨ
ᠥᠷᠲᠥᠬᠦ᠎ᠦᠭᠡᠢ	ᠥᠷᠲᠥᠬᠦ ᠦᠭᠡᠶ	ᠥᠷᠲᠥᠬᠦ ᠦᠭᠡᠶ
ᠦ	ᠦ	ᠦ
ᠦᠨᠡᠨ᠎ᠳᠦ᠎ᠪᠡᠨ	ᠦᠨᠡᠨ ᠳᠦ ᠪᠡᠨ	ᠦᠨᠡᠨ ᠳᠦ ᠪᠡᠨ
ᠦᠭᠡ᠎ᠦᠭᠡᠢ	ᠦᠭᠡ ᠦᠭᠡᠶ	ᠦᠭᠡ ᠦᠭᠡᠶ
ᠦᠭᠡᠰ	ᠦᠭᠡᠰ	ᠦᠭᠡᠰ
ᠦᠯᠡᠳᠡᠭᠰᠡᠨ	ᠦᠯᠡᠳᠡᠭᠰᠡᠨ	ᠦᠯᠡᠳᠡᠭᠰᠡᠨ
ᠦᠯᠡᠳᠡᠵᠦ	ᠦᠯᠡᠳᠡᠵᠦ	ᠦᠯᠡᠳᠡᠵᠦ
ᠦᠯᠦ	ᠦᠯᠦ	ᠦᠯᠦ
ᠦᠳᠡᠰᠢ	ᠦᠳᠡᠰᠢ	ᠦᠳᠡᠰᠢ
ᠦᠵᠡᠨ	ᠦᠵᠡᠨ	ᠦᠵᠡᠨ
ᠦᠵᠡᠬᠦ	ᠦᠵᠡᠬᠦ	ᠦᠵᠡᠬᠦ
ᠦᠵᠡᠮᠵᠢᠲᠡᠢ	ᠦᠵᠡᠮᠵᠢᠲᠡᠶ	ᠦᠵᠡᠮᠵᠢᠲᠡᠶ
ᠦᠷᠭᠦᠯᠵᠢᠯᠡᠬᠦ	ᠦᠷᠭᠦᠯᠵᠢᠯᠡᠬᠦ	ᠦᠷᠭᠦᠯᠵᠢᠯᠡᠬᠦ
ᠨᠠ	ᠨᠠ	ᠨᠠ
ᠨᠠᠢᠵᠠ᠎ᠨᠤᠭᠤᠳ᠎ᠢᠶᠠᠨ	ᠨᠠᠶᠢᠵᠠ ᠨᠤᠭᠤᠳ ᠢᠶᠠᠨ	ᠨᠠᠶᠢᠵᠠ ᠨᠤᠭᠤᠳ ᠢᠶᠠᠨ
ᠨᠠᠷᠠ᠎ᠲᠠᠢ	ᠨᠠᠷᠠ ᠲᠠᠶ	ᠨᠠᠷᠠ ᠲᠠᠶ
ᠨᠡ	ᠨᠡ	ᠨᠡ
ᠨᠢ	ᠨᠢ	ᠨᠢ
ᠨᠢᠭᠡ᠎ᠶᠢ	ᠨᠢᠭᠡ ᠶᠢ	ᠨᠢᠭᠡ ᠶᠢ
ᠨᠢᠯᠪᠤᠰᠤ	ᠨᠢᠯᠪᠤᠰᠤ	ᠨᠢᠯᠪᠤᠰᠤ
ᠨᠢᠰᠦᠨ᠎ᠡ	ᠨᠢᠰᠦᠨ᠎ᠡ	ᠨᠢᠰᠦᠨ᠎ᠡ
